route,date,daytype,rides
1,08/14/2023,W,952
1,07/18/2023,W,1033
1,10/19/2023,W,1241
1,02/15/2023,W,983
1,04/17/2023,W,916
1,08/03/2023,W,1060
1,07/25/2023,W,1147
1,10/03/2023,W,1380
1,09/28/2023,W,1215
1,01/03/2023,W,709
1,08/23/2023,W,1240
1,05/03/2023,W,1212
1,07/24/2023,W,903
1,10/06/2023,W,966
1,08/07/2023,W,884
1,05/17/2023,W,1241
1,06/23/2023,W,680
1,03/28/2023,W,1046
1,04/27/2023,W,1094
1,03/07/2023,W,1053
1,02/13/2023,W,921
1,01/11/2023,W,878
1,04/13/2023,W,1196
1,07/20/2023,W,1084
1,03/29/2023,W,984
1,09/01/2023,W,774
1,03/20/2023,W,926
1,02/08/2023,W,1062
1,05/16/2023,W,1214
1,03/13/2023,W,886
1,01/25/2023,W,1045
1,05/31/2023,W,1035
1,01/13/2023,W,578
1,02/22/2023,W,1113
1,07/07/2023,W,682
1,01/31/2023,W,980
1,10/11/2023,W,1447
1,09/15/2023,W,912
1,03/15/2023,W,1069
1,04/05/2023,W,1063
1,06/14/2023,W,1176
1,07/05/2023,W,846
1,05/01/2023,W,947
1,07/31/2023,W,928
1,02/06/2023,W,899
1,07/17/2023,W,922
1,07/10/2023,W,918
1,02/09/2023,W,1035
1,01/09/2023,W,798
1,02/14/2023,W,1199
1,06/26/2023,W,911
1,02/01/2023,W,1014
1,04/20/2023,W,1101
1,08/30/2023,W,1146
1,09/12/2023,W,1320
1,07/28/2023,W,737
1,07/03/2023,W,476
1,07/27/2023,W,1028
1,08/02/2023,W,1073
1,08/11/2023,W,739
1,06/20/2023,W,1099
1,10/02/2023,W,1106
1,06/27/2023,W,1150
1,09/25/2023,W,1007
1,03/21/2023,W,1118
1,01/10/2023,W,937
1,09/29/2023,W,900
1,04/12/2023,W,1145
1,06/19/2023,W,457
1,06/01/2023,W,1278
1,07/13/2023,W,1064
1,04/11/2023,W,1190
1,07/06/2023,W,877
1,01/17/2023,W,953
1,08/16/2023,W,1069
1,10/20/2023,W,836
1,08/09/2023,W,1066
1,08/01/2023,W,1175
1,06/05/2023,W,779
1,04/26/2023,W,1128
1,03/16/2023,W,1123
1,09/05/2023,W,1247
1,01/20/2023,W,733
1,10/30/2023,W,1099
1,09/07/2023,W,1315
1,04/21/2023,W,774
1,05/15/2023,W,930
1,03/24/2023,W,757
1,06/15/2023,W,1103
1,08/22/2023,W,1204
1,03/10/2023,W,712
1,04/18/2023,W,1090
1,05/24/2023,W,1167
1,08/08/2023,W,1093
1,03/02/2023,W,1102
1,03/03/2023,W,637
1,02/21/2023,W,949
1,05/10/2023,W,1077
1,04/06/2023,W,922
1,09/21/2023,W,1207
1,10/31/2023,W,1065
1,06/21/2023,W,1117
1,01/24/2023,W,1021
1,05/22/2023,W,952
1,07/26/2023,W,1106
1,07/19/2023,W,1124
1,06/09/2023,W,622
1,06/12/2023,W,860
1,02/20/2023,W,524
1,03/27/2023,W,757
1,01/23/2023,W,854
1,05/08/2023,W,780
1,09/22/2023,W,833
1,05/30/2023,W,1129
1,03/22/2023,W,1052
1,01/30/2023,W,816
1,01/05/2023,W,725
1,10/18/2023,W,1109
1,06/22/2023,W,1013
1,09/11/2023,W,1003
1,04/19/2023,W,1126
1,10/09/2023,W,886
1,05/25/2023,W,857
1,02/17/2023,W,736
1,03/17/2023,W,698
1,04/25/2023,W,1236
1,05/12/2023,W,783
1,03/23/2023,W,1089
1,10/25/2023,W,1120
1,04/14/2023,W,724
1,10/10/2023,W,1477
1,04/10/2023,W,872
1,03/09/2023,W,1038
1,10/16/2023,W,1028
1,10/12/2023,W,1258
1,05/19/2023,W,662
1,08/24/2023,W,1112
1,06/16/2023,W,643
1,07/11/2023,W,1055
1,01/26/2023,W,1025
1,04/28/2023,W,834
1,06/08/2023,W,787
1,08/17/2023,W,1041
1,02/24/2023,W,784
1,01/06/2023,W,499
1,09/13/2023,W,1364
1,09/27/2023,W,1248
1,10/13/2023,W,812
1,01/04/2023,W,579
1,09/14/2023,W,1289
1,04/07/2023,W,585
1,10/26/2023,W,1210
1,06/02/2023,W,772
1,08/31/2023,W,1127
1,10/05/2023,W,1102
1,08/10/2023,W,1177
1,01/19/2023,W,988
1,03/31/2023,W,773
1,02/10/2023,W,659
1,09/18/2023,W,1061
1,02/07/2023,W,1135
1,05/09/2023,W,1062
1,06/28/2023,W,973
1,04/24/2023,W,1000
1,08/29/2023,W,1216
1,03/06/2023,W,912
1,05/05/2023,W,774
1,09/06/2023,W,1138
1,06/29/2023,W,881
1,06/07/2023,W,1156
1,08/04/2023,W,800
1,08/15/2023,W,1163
1,05/11/2023,W,1108
1,10/24/2023,W,1277
1,09/08/2023,W,786
1,04/03/2023,W,805
1,10/27/2023,W,762
1,09/20/2023,W,1261
1,01/18/2023,W,979
1,05/04/2023,W,1006
1,03/01/2023,W,986
1,01/27/2023,W,650
1,10/04/2023,W,1344
1,08/25/2023,W,812
1,02/28/2023,W,1138
1,03/14/2023,W,1181
1,02/27/2023,W,841
1,10/17/2023,W,1339
1,06/30/2023,W,508
1,07/14/2023,W,742
1,02/16/2023,W,1098
1,08/18/2023,W,896
1,02/02/2023,W,1035
1,08/28/2023,W,954
1,05/23/2023,W,1191
1,10/23/2023,W,902
1,07/21/2023,W,585
1,02/23/2023,W,1058
1,02/03/2023,W,560
1,01/16/2023,W,260
1,06/06/2023,W,1071
1,01/12/2023,W,863
1,09/19/2023,W,1375
1,04/04/2023,W,1060
1,03/08/2023,W,1022
1,08/21/2023,W,986
1,05/18/2023,W,936
1,03/30/2023,W,995
1,06/13/2023,W,1174
1,07/12/2023,W,1138
1,09/26/2023,W,1323
1,05/26/2023,W,604
1,05/02/2023,W,1192
10,07/19/2023,W,500
10,08/13/2023,U,587
10,06/21/2023,W,482
10,06/12/2023,W,379
10,06/03/2023,A,146
10,07/18/2023,W,533
10,08/26/2023,A,148
10,07/04/2023,U,591
10,08/12/2023,A,506
10,07/03/2023,W,386
10,07/16/2023,U,368
10,05/29/2023,U,142
10,06/11/2023,U,558
10,07/09/2023,U,287
10,06/22/2023,W,421
10,07/28/2023,W,876
10,07/06/2023,W,502
10,08/03/2023,W,483
10,06/10/2023,A,311
10,08/08/2023,W,448
10,09/01/2023,W,433
10,06/18/2023,U,518
10,09/12/2023,W,2
10,07/22/2023,A,532
10,08/25/2023,W,483
10,09/03/2023,U,485
10,06/30/2023,W,405
10,06/25/2023,U,325
10,06/05/2023,W,388
10,08/06/2023,U,321
10,06/06/2023,W,493
10,07/14/2023,W,606
10,08/20/2023,U,343
10,05/27/2023,A,91
10,08/09/2023,W,585
10,06/13/2023,W,411
10,07/13/2023,W,492
10,08/10/2023,W,328
10,08/28/2023,W,527
10,08/11/2023,W,494
10,07/25/2023,W,502
10,08/30/2023,W,418
10,08/27/2023,U,253
10,06/04/2023,U,332
10,07/23/2023,U,371
10,07/29/2023,A,609
10,06/16/2023,W,560
10,08/14/2023,W,723
10,06/26/2023,W,378
10,08/02/2023,W,600
10,08/24/2023,W,417
10,06/15/2023,W,394
10,08/21/2023,W,431
10,08/17/2023,W,518
10,05/30/2023,W,130
10,07/11/2023,W,549
10,07/02/2023,U,439
10,08/31/2023,W,495
10,07/24/2023,W,493
10,06/01/2023,W,183
10,06/19/2023,W,609
10,06/24/2023,A,414
10,08/22/2023,W,426
10,06/28/2023,W,388
10,08/01/2023,W,433
10,07/12/2023,W,662
10,07/08/2023,A,580
10,06/02/2023,W,163
10,07/05/2023,W,425
10,07/21/2023,W,638
10,05/31/2023,W,137
10,06/20/2023,W,384
10,07/07/2023,W,523
10,07/26/2023,W,663
