station_id,stationname,date,daytype,rides
40010,Austin-Forest Park,01/02/2023,U,290
40020,Harlem-Lake,01/02/2023,U,851
40030,Pulaski-Lake,01/02/2023,U,364
40040,Quincy/Wells,01/02/2023,U,1001
40050,Davis,01/02/2023,U,876
40060,Belmont-O'Hare,01/02/2023,U,1386
40070,Jackson/Dearborn,01/02/2023,U,1312
40080,Sheridan,01/02/2023,U,1237
40090,Damen-Brown,01/02/2023,U,559
40100,Morse,01/02/2023,U,1187
40120,35th/Archer,01/02/2023,U,703
40130,51st,01/02/2023,U,247
40140,Dempster-Skokie,01/02/2023,U,392
40150,Pulaski-Cermak,01/02/2023,U,423
40160,LaSalle/Van Buren,01/02/2023,U,268
40170,Ashland-Lake,01/02/2023,U,529
40180,Oak Park-Forest Park,01/02/2023,U,227
40190,Sox-35th-Dan Ryan,01/02/2023,U,752
40210,Damen-Cermak,01/02/2023,U,442
40220,Western-Forest Park,01/02/2023,U,369
40230,Cumberland,01/02/2023,U,676
40240,79th,01/02/2023,U,1714
40250,Kedzie-Homan-Forest Park,01/02/2023,U,546
40260,State/Lake,01/02/2023,U,2939
40270,Main,01/02/2023,U,323
40280,Central-Lake,01/02/2023,U,605
40290,Ashland/63rd,01/02/2023,U,293
40300,Indiana,01/02/2023,U,175
40310,Western-Orange,01/02/2023,U,1007
40320,Division/Milwaukee,01/02/2023,U,1196
40330,Grand/State,01/02/2023,U,3011
40340,Berwyn,01/02/2023,U,0
40350,UIC-Halsted,01/02/2023,U,636
40360,Southport,01/02/2023,U,923
40370,Washington/Dearborn,01/02/2023,U,2785
40380,Clark/Lake,01/02/2023,U,2592
40390,Forest Park,01/02/2023,U,524
40400,Noyes,01/02/2023,U,191
40420,Cicero-Cermak,01/02/2023,U,473
40430,Clinton-Forest Park,01/02/2023,U,601
40440,California-Cermak,01/02/2023,U,435
40450,95th/Dan Ryan,01/02/2023,U,2490
40460,Merchandise Mart,01/02/2023,U,709
40470,Racine,01/02/2023,U,364
40480,Cicero-Lake,01/02/2023,U,336
40490,Grand/Milwaukee,01/02/2023,U,667
40510,Garfield-South Elevated,01/02/2023,U,335
40520,Foster,01/02/2023,U,204
40530,Diversey,01/02/2023,U,1222
40540,Wilson,01/02/2023,U,2434
40550,Irving Park-O'Hare,01/02/2023,U,979
40560,Jackson/State,01/02/2023,U,2353
40570,California/Milwaukee,01/02/2023,U,1107
40580,54th/Cermak,01/02/2023,U,758
40590,Damen/Milwaukee,01/02/2023,U,1425
40600,Kostner,01/02/2023,U,122
40610,Ridgeland,01/02/2023,U,243
40630,Clark/Division,01/02/2023,U,2133
40650,North/Clybourn,01/02/2023,U,1713
40660,Armitage,01/02/2023,U,979
40670,Western/Milwaukee,01/02/2023,U,1081
40680,Adams/Wabash,01/02/2023,U,1966
40690,Dempster,01/02/2023,U,262
40700,Laramie,01/02/2023,U,303
40710,Chicago/Franklin,01/02/2023,U,1213
40720,East 63rd-Cottage Grove,01/02/2023,U,217
40730,Washington/Wells,01/02/2023,U,569
40740,Western-Cermak,01/02/2023,U,375
40750,Harlem-O'Hare,01/02/2023,U,582
40760,Granville,01/02/2023,U,900
40770,Lawrence,01/02/2023,U,0
40780,Central Park,01/02/2023,U,357
40790,Monroe/Dearborn,01/02/2023,U,856
40800,Sedgwick,01/02/2023,U,876
40810,Medical Center,01/02/2023,U,499
40820,Rosemont,01/02/2023,U,1609
40830,18th,01/02/2023,U,579
40840,South Boulevard,01/02/2023,U,166
40850,Library,01/02/2023,U,1176
40870,Francisco,01/02/2023,U,361
40880,Thorndale,01/02/2023,U,742
40890,O'Hare Airport,01/02/2023,U,6311
40900,Howard,01/02/2023,U,1709
40910,63rd-Dan Ryan,01/02/2023,U,711
40920,Pulaski-Forest Park,01/02/2023,U,566
40930,Midway Airport,01/02/2023,U,2505
40940,Halsted/63rd,01/02/2023,U,121
40960,Pulaski-Orange,01/02/2023,U,1174
40970,Cicero-Forest Park,01/02/2023,U,367
40980,Harlem-Forest Park,01/02/2023,U,170
40990,69th,01/02/2023,U,1090
41000,Cermak-Chinatown,01/02/2023,U,1953
41010,Rockwell,01/02/2023,U,398
41020,Logan Square,01/02/2023,U,1452
41030,Polk,01/02/2023,U,392
41040,Kedzie-Cermak,01/02/2023,U,354
41050,Linden,01/02/2023,U,208
41060,Ashland-Orange,01/02/2023,U,471
41070,Kedzie-Lake,01/02/2023,U,365
41080,47th-South Elevated,01/02/2023,U,269
41090,Monroe/State,01/02/2023,U,1394
41120,35-Bronzeville-IIT,01/02/2023,U,325
41130,Halsted-Orange,01/02/2023,U,578
41140,King Drive,01/02/2023,U,105
41150,Kedzie-Midway,01/02/2023,U,957
41160,Clinton-Lake,01/02/2023,U,654
41170,Garfield-Dan Ryan,01/02/2023,U,697
41180,Kedzie-Brown,01/02/2023,U,714
41190,Jarvis,01/02/2023,U,506
41200,Argyle,01/02/2023,U,1280
41210,Wellington,01/02/2023,U,584
41220,Fullerton,01/02/2023,U,5805
41230,47th-Dan Ryan,01/02/2023,U,660
41240,Addison-O'Hare,01/02/2023,U,551
41250,Central-Evanston,01/02/2023,U,164
41260,Austin-Lake,01/02/2023,U,479
41270,43rd,01/02/2023,U,239
41280,Jefferson Park,01/02/2023,U,1722
41290,Kimball,01/02/2023,U,1156
41300,Loyola,01/02/2023,U,1223
41310,Paulina,01/02/2023,U,644
41320,Belmont-North Main,01/02/2023,U,3425
41330,Montrose-O'Hare,01/02/2023,U,525
41340,LaSalle,01/02/2023,U,523
41350,Oak Park-Lake,01/02/2023,U,231
41360,California-Lake,01/02/2023,U,296
41380,Bryn Mawr,01/02/2023,U,1086
41400,Roosevelt,01/02/2023,U,3390
41410,Chicago/Milwaukee,01/02/2023,U,764
41420,Addison-North Main,01/02/2023,U,2040
41430,87th,01/02/2023,U,1034
41440,Addison-Brown,01/02/2023,U,450
41450,Chicago/State,01/02/2023,U,3368
41460,Irving Park-Brown,01/02/2023,U,587
41480,Western-Brown,01/02/2023,U,1106
41490,Harrison,01/02/2023,U,897
41500,Montrose-Brown,01/02/2023,U,526
41510,Morgan-Lake,01/02/2023,U,1339
41660,Lake/State,01/02/2023,U,4287
41670,Conservatory,01/02/2023,U,253
41680,Oakton-Skokie,01/02/2023,U,206
41690,Cermak-McCormick Place,01/02/2023,U,423
41700,Washington/Wabash,01/02/2023,U,3364
40010,Austin-Forest Park,01/03/2023,W,571
40020,Harlem-Lake,01/03/2023,W,1469
40030,Pulaski-Lake,01/03/2023,W,541
40040,Quincy/Wells,01/03/2023,W,3528
40050,Davis,01/03/2023,W,1342
40060,Belmont-O'Hare,01/03/2023,W,2276
40070,Jackson/Dearborn,01/03/2023,W,2395
40080,Sheridan,01/03/2023,W,1891
40090,Damen-Brown,01/03/2023,W,1105
40100,Morse,01/03/2023,W,1770
40120,35th/Archer,01/03/2023,W,1180
40130,51st,01/03/2023,W,365
40140,Dempster-Skokie,01/03/2023,W,664
40150,Pulaski-Cermak,01/03/2023,W,557
40160,LaSalle/Van Buren,01/03/2023,W,1316
40170,Ashland-Lake,01/03/2023,W,1206
40180,Oak Park-Forest Park,01/03/2023,W,519
40190,Sox-35th-Dan Ryan,01/03/2023,W,1167
40210,Damen-Cermak,01/03/2023,W,718
40220,Western-Forest Park,01/03/2023,W,560
40230,Cumberland,01/03/2023,W,1366
40240,79th,01/03/2023,W,2337
40250,Kedzie-Homan-Forest Park,01/03/2023,W,725
40260,State/Lake,01/03/2023,W,4656
40270,Main,01/03/2023,W,438
40280,Central-Lake,01/03/2023,W,890
40290,Ashland/63rd,01/03/2023,W,393
40300,Indiana,01/03/2023,W,221
40310,Western-Orange,01/03/2023,W,1821
40320,Division/Milwaukee,01/03/2023,W,2362
40330,Grand/State,01/03/2023,W,3515
40340,Berwyn,01/03/2023,W,0
40350,UIC-Halsted,01/03/2023,W,1041
40360,Southport,01/03/2023,W,1527
40370,Washington/Dearborn,01/03/2023,W,4970
40380,Clark/Lake,01/03/2023,W,6580
40390,Forest Park,01/03/2023,W,1071
40400,Noyes,01/03/2023,W,458
40420,Cicero-Cermak,01/03/2023,W,602
40430,Clinton-Forest Park,01/03/2023,W,1430
40440,California-Cermak,01/03/2023,W,713
40450,95th/Dan Ryan,01/03/2023,W,3818
40460,Merchandise Mart,01/03/2023,W,3105
40470,Racine,01/03/2023,W,530
40480,Cicero-Lake,01/03/2023,W,472
40490,Grand/Milwaukee,01/03/2023,W,1306
40510,Garfield-South Elevated,01/03/2023,W,469
40520,Foster,01/03/2023,W,331
40530,Diversey,01/03/2023,W,2548
40540,Wilson,01/03/2023,W,3555
