"TIME","REGION_ID","avg_speed","total_bus_count","total_num_reads","REGION","WEST","EAST","NORTH","SOUTH"
2023-01-01,1,20.4995744680851,1651,35885,"Rogers Park - West Ridge",-87.709645,-87.654561,42.026444,41.997946
2023-01-01,2,26.5363829787234,2253,47163,"Far North West",-87.84621,-87.747456,42.0190998,41.960669
2023-01-01,3,25.1717730496454,3457,76513,"North Park-Albany-Linconl Sq",-87.747456,-87.67459,41.997946,41.960669
2023-01-01,4,22.0787234042553,2627,56969,"Edge Water-Uptown",-87.67459,-87.646438,41.997946,41.960669
2023-01-01,5,24.5490780141844,3459,89994,"Dunning-Portage-Belmont Cragn",-87.84621,-87.747456,41.960669,41.909269
2023-01-01,6,23.8770921985816,2888,71986,"Irving Park-Avondale-North Ctr",-87.747456,-87.67459,41.960669,41.931841
2023-01-01,7,22.7570212765957,3096,70312,"Hermosa-Logan Square",-87.747456,-87.67459,41.931841,41.909269
2023-01-01,8,23.678085106383,4468,109592,"Lincoln Park-Lake View",-87.67459,-87.619112,41.960669,41.910561
2023-01-01,9,23.7551063829787,1699,38357,"Austin",-87.775947,-87.747456,41.909269,41.866129
2023-01-01,10,25.6270212765957,4785,100819,"Humboldt-Garfield Prk E/W",-87.747456,-87.691617,41.909269,41.866129
2023-01-01,11,25.5051063829787,3848,88343,"West Town-Near West",-87.691617,-87.647208,41.910561,41.866129
2023-01-01,12,20.0617730496454,3086,50357,"Near North",-87.647208,-87.62308,41.911401,41.88886
2023-01-01,13,21.5906382978723,4593,83426,"Chicago Loop",-87.647208,-87.62308,41.88886,41.866129
2023-01-01,14,25.1821985815603,3297,77761,"Lawndale N/S",-87.747456,-87.685372,41.866129,41.822792
2023-01-01,15,27.887304964539,2560,59702,"Bridgeport-McKinley-Lower West",-87.685372,-87.636322,41.866129,41.822792
2023-01-01,16,23.9263120567376,2308,48130,"Near South-Douglas",-87.636322,-87.597952,41.866129,41.822792
2023-01-01,17,20.8683687943262,721,17464,"Midway-Garfield Rdg-Clearing",-87.802188,-87.747456,41.822792,41.764066
2023-01-01,18,27.5684397163121,3459,90602,"South West Side",-87.747456,-87.68373,41.822792,41.764066
2023-01-01,19,28.1390070921986,3120,77543,"New City-Englewood-W Englewood",-87.68373,-87.636322,41.822792,41.764066
2023-01-01,20,25.7958865248227,2883,69048,"Fuller-Grand Blvd-Washington Park",-87.636322,-87.606334,41.822792,41.764066
2023-01-01,21,24.3116312056738,3221,83913,"Hyde Park-Kenwood-Woodlawn",-87.606334,-87.56626,41.822792,41.764066
2023-01-01,22,25.8167375886525,2092,43444,"Ashburn",-87.747456,-87.67298,41.764066,41.728472
2023-01-01,23,27.4566666666667,4749,96324,"Auburn Gresham-Chatham",-87.67298,-87.606334,41.764066,41.728472
2023-01-01,24,25.8382978723404,3034,84254,"South Shore-S Chicago-Avlon",-87.606334,-87.526388,41.764066,41.728472
2023-01-01,25,23.6323404255319,1388,30634,"Beverly-Mt Greenwood-Morgan Park",-87.747456,-87.662508,41.728472,41.677477
2023-01-01,26,28.95,3498,104845,"Washington Hts-Roseland-Pullman",-87.662508,-87.584845,41.728472,41.677477
2023-01-01,27,25.4285106382979,1977,35005,"South Deering-East Side",-87.584845,-87.524436,41.728472,41.677477
2023-01-01,28,5.98893617021277,436,13348,"Riverdale-Hegewisch",-87.662508,-87.524436,41.677477,41.644139
2023-01-01,29,18.6607092198582,2043,22606,"Downtown Lakefront",-87.62308,-87.595378,41.911401,41.866129
2023-01-02,1,21.1811805555556,1765,38087,"Rogers Park - West Ridge",-87.709645,-87.654561,42.026444,41.997946
2023-01-02,2,26.5870138888889,2499,50615,"Far North West",-87.84621,-87.747456,42.0190998,41.960669
2023-01-02,3,24.4445138888889,3803,84675,"North Park-Albany-Linconl Sq",-87.747456,-87.67459,41.997946,41.960669
2023-01-02,4,20.6634027777778,2856,63261,"Edge Water-Uptown",-87.67459,-87.646438,41.997946,41.960669
2023-01-02,5,23.7836111111111,3921,100968,"Dunning-Portage-Belmont Cragn",-87.84621,-87.747456,41.960669,41.909269
2023-01-02,6,24.2877083333333,3260,81036,"Irving Park-Avondale-North Ctr",-87.747456,-87.67459,41.960669,41.931841
2023-01-02,7,23.0131944444444,3413,76939,"Hermosa-Logan Square",-87.747456,-87.67459,41.931841,41.909269
2023-01-02,8,22.5517361111111,5278,129023,"Lincoln Park-Lake View",-87.67459,-87.619112,41.960669,41.910561
2023-01-02,9,23.6881944444444,1812,42421,"Austin",-87.775947,-87.747456,41.909269,41.866129
2023-01-02,10,25.7952777777778,4811,106765,"Humboldt-Garfield Prk E/W",-87.747456,-87.691617,41.909269,41.866129
2023-01-02,11,26.2458333333333,4188,96939,"West Town-Near West",-87.691617,-87.647208,41.910561,41.866129
