"zip_code","area_rent_br0","area_rent_br1","area_rent_br2","area_rent_br3","area_rent_br4","Year","city","county"
60004,1120,1260,1460,1850,2210,2020,"Arlington Heights","Cook"
60005,1000,1120,1300,1650,1970,2020,"Arlington Heights","Cook"
60007,1010,1140,1320,1680,2000,2020,"Elk Grove Village","Cook"
60008,1100,1240,1440,1830,2180,2020,"Rolling Meadows","Cook"
60016,1030,1160,1350,1710,2040,2020,"Des Plaines","Cook"
60018,840,950,1100,1400,1660,2020,"Des Plaines","Cook"
60022,1060,1200,1390,1770,2100,2020,"Glencoe","Cook"
60025,1070,1210,1400,1780,2120,2020,"Glenview","Cook"
60026,1380,1550,1800,2290,2720,2020,"Glenview Nas","Cook"
60029,1190,1340,1550,1980,2350,2020,"Golf","Cook"
60043,1430,1610,1870,2380,2830,2020,"Kenilworth","Cook"
60053,1430,1610,1870,2380,2830,2020,"Morton Grove","Cook"
60056,1000,1120,1300,1650,1970,2020,"Mount Prospect","Cook"
60062,1330,1490,1730,2200,2620,2020,"Northbrook","Cook"
60067,1140,1290,1490,1890,2250,2020,"Palatine","Cook"
60068,1080,1220,1410,1790,2130,2020,"Park Ridge","Cook"
60070,890,1000,1160,1470,1750,2020,"Prospect Heights","Cook"
60074,1000,1130,1310,1660,1980,2020,"Palatine","Cook"
60076,1090,1220,1420,1800,2150,2020,"Skokie","Cook"
60077,1040,1170,1360,1730,2060,2020,"Skokie","Cook"
60090,1060,1190,1380,1750,2090,2020,"Wheeling","Cook"
60091,1430,1610,1870,2380,2830,2020,"Wilmette","Cook"
60093,1430,1610,1870,2380,2830,2020,"Winnetka","Cook"
60103,1240,1400,1620,2060,2450,2020,"Bartlett","Cook"
60104,960,1080,1250,1590,1890,2020,"Bellwood","Cook"
60107,1410,1590,1840,2340,2780,2020,"Streamwood","Cook"
60130,880,990,1150,1460,1740,2020,"Forest Park","Cook"
60131,750,850,980,1240,1480,2020,"Franklin Park","Cook"
60133,1060,1200,1390,1770,2100,2020,"Hanover Park","Cook"
60141,840,950,1100,1400,1670,2020,"Hines","Cook"
60153,850,960,1110,1410,1680,2020,"Maywood","Cook"
60154,1180,1330,1540,1960,2330,2020,"Westchester","Cook"
60155,830,930,1080,1370,1630,2020,"Broadview","Cook"
60160,830,930,1080,1370,1630,2020,"Melrose Park","Cook"
60162,900,1020,1180,1500,1780,2020,"Hillside","Cook"
60163,880,990,1150,1460,1740,2020,"Berkeley","Cook"
60164,770,860,1000,1270,1510,2020,"Melrose Park","Cook"
60165,950,1070,1240,1580,1880,2020,"Stone Park","Cook"
60169,1030,1160,1350,1710,2040,2020,"Hoffman Estates","Cook"
60171,800,910,1050,1330,1590,2020,"River Grove","Cook"
60173,1300,1470,1700,2160,2570,2020,"Schaumburg","Cook"
60176,800,910,1050,1330,1590,2020,"Schiller Park","Cook"
60192,1430,1610,1870,2380,2830,2020,"Schaumburg","Cook"
60193,1190,1350,1560,1980,2360,2020,"Schaumburg","Cook"
60194,1270,1430,1660,2110,2510,2020,"Schaumburg","Cook"
