"station_id","year","total_frequency","total_ridership","latitude","longitude"
40050,2012,23912,1251574,42.04771,-87.683543
40050,2013,23912,1236190,42.04771,-87.683543
40050,2014,23912,1258199,42.04771,-87.683543
40050,2015,23912,1247161,42.04771,-87.683543
40050,2016,23963,1202570,42.04771,-87.683543
40050,2017,23890,1164466,42.04771,-87.683543
40050,2018,23912,1152005,42.04771,-87.683543
40050,2019,23912,1091440,42.04771,-87.683543
40050,2020,23984,393596,42.04771,-87.683543
40050,2021,23890,392194,42.04771,-87.683543
40050,2022,23913,468102,42.04771,-87.683543
40050,2023,11891,248931,42.04771,-87.683543
40080,2012,33732,1768581,41.953775,-87.654929
40080,2013,33732,1796455,41.953775,-87.654929
40080,2014,33732,1823423,41.953775,-87.654929
40080,2015,33732,1846676,41.953775,-87.654929
40080,2016,33810,1862480,41.953775,-87.654929
40080,2017,33704,1726236,41.953775,-87.654929
40080,2018,33732,1592654,41.953775,-87.654929
40080,2019,33732,1503864,41.953775,-87.654929
40080,2020,33832,496168,41.953775,-87.654929
40080,2021,33704,536034,41.953775,-87.654929
40080,2022,33738,714841,41.953775,-87.654929
40080,2023,16766,389015,41.953775,-87.654929
40100,2012,33732,1324460,42.008362,-87.665909
40100,2013,33732,1523343,42.008362,-87.665909
40100,2014,33732,1655567,42.008362,-87.665909
40100,2015,33732,1636238,42.008362,-87.665909
40100,2016,33810,1596278,42.008362,-87.665909
40100,2017,33704,1513347,42.008362,-87.665909
40100,2018,33732,1465115,42.008362,-87.665909
40100,2019,33732,1387878,42.008362,-87.665909
40100,2020,33832,551071,42.008362,-87.665909
40100,2021,33704,549693,42.008362,-87.665909
40100,2022,33738,663066,42.008362,-87.665909
40100,2023,16766,354619,42.008362,-87.665909
40120,2012,23696,911228,41.829353,-87.680622
40120,2013,23696,936192,41.829353,-87.680622
40120,2014,23696,936665,41.829353,-87.680622
40120,2015,23696,983098,41.829353,-87.680622
40120,2016,23760,984456,41.829353,-87.680622
40120,2017,23691,956194,41.829353,-87.680622
40120,2018,23696,918747,41.829353,-87.680622
40120,2019,23696,896292,41.829353,-87.680622
40120,2020,23762,326259,41.829353,-87.680622
40120,2021,23691,352399,41.829353,-87.680622
40120,2022,23699,477257,41.829353,-87.680622
40120,2023,11756,254224,41.829353,-87.680622
40130,2012,22120,370054,41.80209,-87.618487
40130,2013,22120,447449,41.80209,-87.618487
40130,2014,22120,362309,41.80209,-87.618487
40130,2015,22120,362789,41.80209,-87.618487
40130,2016,22180,329375,41.80209,-87.618487
40130,2017,22113,304359,41.80209,-87.618487
40130,2018,22120,327277,41.80209,-87.618487
40130,2019,22120,288107,41.80209,-87.618487
40130,2020,22182,131619,41.80209,-87.618487
40130,2021,22113,124414,41.80209,-87.618487
40130,2022,22125,147163,41.80209,-87.618487
40130,2023,10976,73516,41.80209,-87.618487
40140,2012,15446,570533,42.038951,-87.751919
40140,2013,20510,697441,42.038951,-87.751919
40140,2014,20510,685359,42.038951,-87.751919
40140,2015,20510,323519,42.038951,-87.751919
40140,2016,20562,608260,42.038951,-87.751919
40140,2017,20504,617395,42.038951,-87.751919
40140,2018,20510,597505,42.038951,-87.751919
40140,2019,20510,557333,42.038951,-87.751919
40140,2020,20568,183819,42.038951,-87.751919
40140,2021,20504,188770,42.038951,-87.751919
40140,2022,20510,231114,42.038951,-87.751919
40140,2023,10180,129054,42.038951,-87.751919
40160,2012,47056,1623958,41.8768,-87.631739
40160,2013,47056,1595740,41.8768,-87.631739
40160,2014,47056,1641974,41.8768,-87.631739
40160,2015,47056,1548710,41.8768,-87.631739
40160,2016,47182,1613702,41.8768,-87.631739
40160,2017,47042,1624240,41.8768,-87.631739
40160,2018,47056,1658020,41.8768,-87.631739
40160,2019,47056,1660126,41.8768,-87.631739
40160,2020,47188,515572,41.8768,-87.631739
40160,2021,47042,417716,41.8768,-87.631739
40160,2022,47064,686746,41.8768,-87.631739
40160,2023,23350,417960,41.8768,-87.631739
40230,2012,29097,1455574,41.984246,-87.838028
40230,2013,29097,1438568,41.984246,-87.838028
40230,2014,29097,1386121,41.984246,-87.838028
40230,2015,29097,1451415,41.984246,-87.838028
40230,2016,29161,1415311,41.984246,-87.838028
40230,2017,29061,1405904,41.984246,-87.838028
40230,2018,29097,1335368,41.984246,-87.838028
40230,2019,29097,1239810,41.984246,-87.838028
40230,2020,29186,401506,41.984246,-87.838028
40230,2021,29061,375987,41.984246,-87.838028
40230,2022,29108,488142,41.984246,-87.838028
40230,2023,14476,265121,41.984246,-87.838028
40240,2012,33732,2473964,41.750419,-87.625112
40240,2013,30988,1243537,41.750419,-87.625112
40240,2014,33732,2418676,41.750419,-87.625112
40240,2015,33732,2507871,41.750419,-87.625112
40240,2016,33810,2363196,41.750419,-87.625112
40240,2017,33704,2213115,41.750419,-87.625112
40240,2018,33732,2120951,41.750419,-87.625112
40240,2019,33732,1975866,41.750419,-87.625112
40240,2020,33832,972675,41.750419,-87.625112
40240,2021,33704,821484,41.750419,-87.625112
40240,2022,33738,874011,41.750419,-87.625112
40240,2023,16766,435167,41.750419,-87.625112
40260,2012,93401,12251192,41.88574,-87.627835
40260,2013,93401,12174248,41.88574,-87.627835
40260,2014,93401,12368824,41.88574,-87.627835
40260,2015,93401,13183176,41.88574,-87.627835
40260,2016,93638,12587204,41.88574,-87.627835
40260,2017,93358,13225976,41.88574,-87.627835
40260,2018,93401,15119400,41.88574,-87.627835
40260,2019,93401,15132748,41.88574,-87.627835
40260,2020,93668,4657004,41.88574,-87.627835
40260,2021,93358,5500248,41.88574,-87.627835
40260,2022,93414,7790540,41.88574,-87.627835
40260,2023,46373,4168652,41.88574,-87.627835
40270,2012,24167,385130,42.033456,-87.679538
40270,2013,24167,382038,42.033456,-87.679538
40270,2014,24167,403441,42.033456,-87.679538
40270,2015,24167,398927,42.033456,-87.679538
40270,2016,24218,391531,42.033456,-87.679538
40270,2017,24144,385064,42.033456,-87.679538
40270,2018,24167,371563,42.033456,-87.679538
40270,2019,24167,358222,42.033456,-87.679538
40270,2020,24240,126017,42.033456,-87.679538
40270,2021,24144,132190,42.033456,-87.679538
40270,2022,24168,157729,42.033456,-87.679538
40270,2023,12019,84616,42.033456,-87.679538
40290,2012,22120,497737,41.77886,-87.663766
40290,2013,22120,738675,41.77886,-87.663766
40290,2014,22120,479337,41.77886,-87.663766
40290,2015,22120,442791,41.77886,-87.663766
40290,2016,22180,376696,41.77886,-87.663766
40290,2017,22113,366831,41.77886,-87.663766
40290,2018,22120,342831,41.77886,-87.663766
40290,2019,22120,301890,41.77886,-87.663766
40290,2020,22182,150810,41.77886,-87.663766
40290,2021,22113,137212,41.77886,-87.663766
40290,2022,22125,145954,41.77886,-87.663766
40290,2023,10976,75197,41.77886,-87.663766
40300,2012,22120,295474,41.821732,-87.621371
40300,2013,22120,371138,41.821732,-87.621371
40300,2014,22120,314498,41.821732,-87.621371
40300,2015,22120,297134,41.821732,-87.621371
40300,2016,22180,271887,41.821732,-87.621371
40300,2017,22113,266849,41.821732,-87.621371
40300,2018,22120,253231,41.821732,-87.621371
40300,2019,22120,231963,41.821732,-87.621371
40300,2020,22182,99395,41.821732,-87.621371
40300,2021,22113,88846,41.821732,-87.621371
40300,2022,22125,97553,41.821732,-87.621371
