"zipcode","year","total_frequency","total_ridership"
"60018",2012,29097,1728136
"60018",2013,29097,1893723
"60018",2014,29097,2090977
"60018",2015,29097,2106653
"60018",2016,29161,2062702
"60018",2017,29061,2031418
"60018",2018,29097,2053166
"60018",2019,29097,1968273
"60018",2020,29186,709783
"60018",2021,29061,757001
"60018",2022,29108,987422
"60018",2023,14476,492840
"60077",2012,30892,744279
"60077",2013,41020,980768
"60077",2014,41020,986484
"60077",2015,41020,473402
"60077",2016,41124,884760
"60077",2017,41008,912483
"60077",2018,41020,884533
"60077",2019,41020,832293
"60077",2020,41136,284215
"60077",2021,41008,286567
"60077",2022,41020,359157
"60077",2023,20360,200254
"60091",2012,24277,310429
"60091",2013,24277,288998
"60091",2014,24277,291913
"60091",2015,24277,321298
"60091",2016,24329,320894
"60091",2017,24255,311242
"60091",2018,24277,304296
"60091",2019,24277,296321
"60091",2020,24350,89189
"60091",2021,24255,106402
"60091",2022,24278,128920
"60091",2023,12072,72341
"60130",2012,26292,1203142
"60130",2013,26292,1155802
"60130",2014,26292,1157040
"60130",2015,26292,1135352
"60130",2016,26356,1101467
"60130",2017,26267,1046738
"60130",2018,26292,1002809
"60130",2019,26292,924239
"60130",2020,26370,402347
"60130",2021,26267,334648
"60130",2022,26303,356015
"60130",2023,13068,180704
"60201",2012,96633,2037740
"60201",2013,96633,2032970
"60201",2014,96633,2090972
"60201",2015,96633,2086708
"60201",2016,96839,2055882
"60201",2017,96544,2003181
"60201",2018,96633,1964299
"60201",2019,96633,1879153
"60201",2020,96924,655199
"60201",2021,96544,699724
"60201",2022,96637,877498
"60201",2023,48054,466137
"60202",2012,24167,385130
"60202",2013,24167,382038
"60202",2014,24167,403441
"60202",2015,24167,398927
"60202",2016,24218,391531
"60202",2017,24144,385064
"60202",2018,24167,371563
"60202",2019,24167,358222
"60202",2020,24240,126017
"60202",2021,24144,132190
"60202",2022,24168,157729
"60202",2023,12019,84616
"60302",2012,22120,400961
"60302",2013,22120,396954
"60302",2014,22120,391299
"60302",2015,22120,393399
"60302",2016,22180,389944
"60302",2017,22113,411170
"60302",2018,22120,403026
"60302",2019,22120,386792
"60302",2020,22182,122683
"60302",2021,22113,118205
"60302",2022,22125,159921
"60302",2023,10976,90394
"60601",2012,215899,40486537
"60601",2013,215899,39892043
"60601",2014,215899,40234999
"60601",2015,215899,43168521
"60601",2016,216437,42450534
"60601",2017,215777,43338641
"60601",2018,215899,45360975
"60601",2019,215899,44286583
"60601",2020,216522,12900374
"60601",2021,215777,13205678
"60601",2022,215936,18894430
"60601",2023,107222,10051782
"60602",2012,71223,6178881
"60602",2013,71223,6091947
"60602",2014,71223,6191277
"60602",2015,71223,6425166
"60602",2016,71400,6905943
"60602",2017,110302,10723993
"60602",2018,164624,19252413
"60602",2019,164624,19147846
"60602",2020,165096,6335632
"60602",2021,164544,7025000
"60602",2022,164646,9932692
"60602",2023,81742,5476437
"60604",2012,93343,9063472
"60604",2013,93343,8713088
"60604",2014,93343,8525764
"60604",2015,93343,11153016
"60604",2016,93580,11233520
"60604",2017,93299,10293116
"60604",2018,93343,8899820
"60604",2019,93343,8349932
"60604",2020,93610,2545864
"60604",2021,93299,2690500
"60604",2022,93357,4335808
"60604",2023,46345,2441128
"60605",2012,189433,15355165
"60605",2013,189433,15877132
"60605",2014,189433,15723913
"60605",2015,189433,15431905
"60605",2016,189903,15488640
"60605",2017,189315,15118244
"60605",2018,189433,14521038
"60605",2019,189433,14146710
"60605",2020,189982,5079719
"60605",2021,189315,5789169
"60605",2022,189472,7653097
"60605",2023,94090,4042151
"60607",2012,55389,2451887
"60607",2013,55389,2467022
"60607",2014,55389,2452839
"60607",2015,55389,2410430
"60607",2016,55517,2399711
"60607",2017,55328,2358521
"60607",2018,55389,2400916
"60607",2019,55389,2351729
"60607",2020,55556,720207
"60607",2021,55328,776103
"60607",2022,55411,1182593
"60607",2023,27544,577701
"60608",2012,3364,52824
"60608",2013,3364,55654
"60608",2014,3364,60744
"60608",2015,3364,62799
"60608",2016,3364,58914
"60608",2017,3422,58302
"60608",2018,3364,51970
"60608",2019,3364,46129
"60608",2020,3364,20921
"60608",2021,3422,33547
"60608",2022,3306,39343
"60608",2023,1624,19805
"60609",2012,23696,911228
"60609",2013,23696,936192
"60609",2014,23696,936665
"60609",2015,23696,983098
"60609",2016,23760,984456
"60609",2017,23691,956194
"60609",2018,23696,918747
"60609",2019,23696,896292
"60609",2020,23762,326259
"60609",2021,23691,352399
"60609",2022,23699,477257
"60609",2023,11756,254224
"60610",2012,86231,5251721
"60610",2013,86231,5082316
"60610",2014,86231,5079429
"60610",2015,86231,4870286
"60610",2016,86424,5256031
"60610",2017,86147,5058778
"60610",2018,86231,4953148
"60610",2019,86231,4773495
"60610",2020,86490,1563403
"60610",2021,86147,2009987
"60610",2022,86249,2684093
"60610",2023,42877,1428264
"60612",2012,23928,950670
"60612",2013,23928,942505
"60612",2014,23928,957736
"60612",2015,23928,993972
"60612",2016,23990,928561
"60612",2017,23918,893334
"60612",2018,23928,898021
"60612",2019,23928,869191
"60612",2020,23996,373443
"60612",2021,23918,419554
"60612",2022,23932,505310
"60612",2023,11878,268921
"60613",2012,91631,5969563
"60613",2013,91631,5830159
"60613",2014,91631,5772709
"60613",2015,91631,5726548
"60613",2016,91838,5606176
"60613",2017,91552,5302306
"60613",2018,91631,5716176
"60613",2019,91631,5590638
"60613",2020,91904,2210440
"60613",2021,91552,2642182
"60613",2022,91644,3473673
"60613",2023,45551,1904183
"60614",2012,138730,15925273
"60614",2013,138730,15599970
"60614",2014,138730,15124691
"60614",2015,138730,15186666
"60614",2016,139038,14981517
"60614",2017,138590,14117025
"60614",2018,138730,13826160
"60614",2019,138730,13645934
"60614",2020,139148,4305817
"60614",2021,138590,4982492
"60614",2022,138760,7475062
"60614",2023,68988,4320472
"60615",2012,22120,370054
"60615",2013,22120,447449
"60615",2014,22120,362309
"60615",2015,22120,362789
"60615",2016,22180,329375
"60615",2017,22113,304359
"60615",2018,22120,327277
"60615",2019,22120,288107
"60615",2020,22182,131619
"60615",2021,22113,124414
"60615",2022,22125,147163
"60615",2023,10976,73516
"60616",2012,33732,1609171
"60616",2013,30988,823799
"60616",2014,33732,1567588
"60616",2015,33732,1547817
"60616",2016,33810,1549250
"60616",2017,33704,1509607
"60616",2018,33732,1459134
"60616",2019,33732,1456259
"60616",2020,33832,444746
"60616",2021,33704,650972
"60616",2022,33738,874515
"60616",2023,16766,448015
"60620",2012,67464,4061262
"60620",2013,61976,2014088
"60620",2014,67464,3925038
"60620",2015,67464,4024327
"60620",2016,67620,3771769
"60620",2017,67408,3533666
"60620",2018,67464,3407811
"60620",2019,67464,3162590
"60620",2020,67664,1524355
"60620",2021,67408,1292395
"60620",2022,67476,1389216
"60620",2023,33532,692297
"60621",2012,33732,1878023
"60621",2013,30988,932660
"60621",2014,33732,1800001
"60621",2015,33732,1870456
"60621",2016,33810,1780101
"60621",2017,33704,1665318
"60621",2018,33732,1564203
"60621",2019,33732,1423925
"60621",2020,33832,682175
"60621",2021,33704,593031
