"zip","population","city","county"
"60629",108997,"Chicago","Cook"
"60618",92235,"Chicago","Cook"
"60632",86372,"Chicago","Cook"
"60647",85685,"Chicago","Cook"
"60639",85248,"Chicago","Cook"
"60804",84189,"Cicero","Cook"
"60617",83188,"Chicago","Cook"
"60608",82749,"Chicago","Cook"
"60625",80296,"Chicago","Cook"
"60623",76611,"Chicago","Cook"
"60634",75873,"Chicago","Cook"
"60614",71701,"Chicago","Cook"
"60657",71192,"Chicago","Cook"
"60641",68968,"Chicago","Cook"
"60620",68330,"Chicago","Cook"
"60640",67317,"Chicago","Cook"
"60651",65229,"Chicago","Cook"
"60402",64659,"Berwyn","Cook"
"60609",63241,"Chicago","Cook"
"60016",61988,"Des Plaines","Cook"
"60628",61419,"Chicago","Cook"
"60619",60443,"Chicago","Cook"
"60638",57799,"Chicago","Cook"
"60453",57665,"Oak Lawn","Cook"
"60056",56651,"Mount Prospect","Cook"
"60630",55295,"Chicago","Cook"
"60622",53944,"Chicago","Cook"
"60411",53222,"Chicago Heights","Cook"
"60616",52707,"Chicago","Cook"
"60004",52189,"Arlington Heights","Cook"
"60613",51961,"Chicago","Cook"
"60637",51145,"Chicago","Cook"
"60649",50143,"Chicago","Cook"
"60626",50135,"Chicago","Cook"
"60644",49445,"Chicago","Cook"
"60645",48692,"Chicago","Cook"
"60643",48270,"Chicago","Cook"
"60201",43122,"Evanston","Cook"
"60610",42904,"Chicago","Cook"
"60660",42895,"Chicago","Cook"
"60615",42780,"Chicago","Cook"
"60659",42621,"Chicago","Cook"
"60652",42223,"Chicago","Cook"
"60103",42047,"Bartlett","Cook"
"60062",42004,"Northbrook","Cook"
"60462",40942,"Orland Park","Cook"
"60025",40858,"Glenview","Cook"
"60707",40845,"Elmwood Park","Cook"
"60193",39451,"Schaumburg","Cook"
"60107",39450,"Streamwood","Cook"
"60068",39332,"Park Ridge","Cook"
"60090",38753,"Wheeling","Cook"
"60067",38380,"Palatine","Cook"
"60074",37222,"Palatine","Cook"
"60133",37222,"Hanover Park","Cook"
"60477",36543,"Tinley Park","Cook"
"60409",35708,"Calumet City","Cook"
"60624",35664,"Chicago","Cook"
"60611",35247,"Chicago","Cook"
"60612",34459,"Chicago","Cook"
"60653",34364,"Chicago","Cook"
"60605",34314,"Chicago","Cook"
"60169",33910,"Hoffman Estates","Cook"
"60202",33868,"Evanston","Cook"
"60076",33170,"Skokie","Cook"
"60302",33063,"Oak Park","Cook"
"60007",32768,"Elk Grove Village","Cook"
"60525",31647,"La Grange","Cook"
"60714",30857,"Niles","Cook"
"60631",30418,"Chicago","Cook"
"60636",29833,"Chicago","Cook"
"60077",29330,"Skokie","Cook"
"60005",29216,"Arlington Heights","Cook"
"60656",29180,"Chicago","Cook"
"60459",29122,"Burbank","Cook"
"60438",29059,"Lansing","Cook"
"60018",28820,"Des Plaines","Cook"
"60607",28797,"Chicago","Cook"
"60646",28770,"Chicago","Cook"
"60655",28000,"Chicago","Cook"
"60091",27591,"Wilmette","Cook"
"60621",26997,"Chicago","Cook"
"60452",26939,"Oak Forest","Cook"
"60487",26198,"Tinley Park","Cook"
"60827",25538,"Riverdale","Cook"
"60160",25177,"Melrose Park","Cook"
"60467",25161,"Orland Park","Cook"
"60406",24959,"Blue Island","Cook"
"60053",24910,"Morton Grove","Cook"
"60706",24233,"Harwood Heights","Cook"
"60654",23475,"Chicago","Cook"
"60153",23385,"Maywood","Cook"
"60426",23213,"Harvey","Cook"
"60008",22863,"Rolling Meadows","Cook"
"60803",22198,"Alsip","Cook"
"60473",21695,"South Holland","Cook"
"60642",21444,"Chicago","Cook"
"60164",21371,"Melrose Park","Cook"
"60419",21283,"Dolton","Cook"
"60466",21243,"Park Forest","Cook"
